[31456:31460:0530/174434.129:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[31456:31448:0530/174434.216:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[31456:31460:0530/174434.227:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[10048:28460:0530/174440.056:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-ECF5D2FC1491CEF498B508377FF1D6C8 will be ignored
[4080:29996:0530/201228.088:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[4080:29996:0530/201228.088:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[4080:29996:0530/201228.088:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[31456:31048:0530/201230.363:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=80})
[31456:31048:0530/201232.363:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=81})
[31456:31048:0530/201236.363:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=82})
[31456:31048:0530/201237.364:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=80})
[31456:31048:0530/201240.367:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=79})
[31456:31048:0530/201241.365:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=80})
[31456:31048:0530/201242.363:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=79})
[31456:31048:0530/201243.364:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=78})
[31456:31048:0530/201245.365:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=77})
[31456:31048:0530/201246.363:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=76})
[31456:31048:0530/201247.364:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=77})
[31456:31048:0530/201252.365:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=78})
[31456:31048:0530/201253.366:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=79})
[31456:31048:0530/201254.365:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=80})
[31456:31048:0530/201255.366:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=81})
[31456:31048:0530/201256.366:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=82})
[31456:31048:0530/201258.365:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=81})
[31456:31048:0530/201259.366:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=82})
[31456:31048:0530/201302.366:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=81})
[31456:31048:0530/201303.366:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=80})
[31456:31048:0530/201308.367:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=81})
[31456:31048:0530/201313.368:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=83})
[31456:31048:0530/201321.372:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00001FF400146D40}, {new_limit=84})
